# Rime user dictionary
#@/db_name	pinyin_simp.userdb
#@/db_type	userdb
#@/rime_version	1.5.3
#@/tick	31502
#@/user_id	sylvan-macbook
a 	啊	c=37 d=1.04009 t=30881
you xian 	优先	c=1 d=1 t=31116
you xian 	有限	c=3 d=1 t=31115
you xian ji 	优先级	c=4 d=1 t=30583
you xiao 	有效	c=3 d=1.00009 t=27250
you xiao qi 	有效期	c=1 d=1 t=396
you xie 	有些	c=13 d=1.00227 t=28481
you xing 	游行	c=1 d=1 t=14401
you xiu 	优秀	c=3 d=1 t=24789
you yi ci 	有一次	c=1 d=1 t=11956
you yi ge 	有一个	c=2 d=1 t=27949
you yi xie 	有一些	c=1 d=1 t=12274
you yong 	有用	c=6 d=1.00108 t=31085
you yong 	游泳	c=1 d=1 t=16707
you zhao yi ri 	有朝一日	c=1 d=1 t=5108
you zhi 	有值	c=1 d=1 t=10309
you zuo 	有做	c=1 d=1 t=26124
yu 	与	c=18 d=2.31712 t=31502
yu 	于	c=2 d=1 t=30620
yu 	煜	c=3 d=1.2982 t=20452
yu 	语	c=2 d=1.93707 t=26490
yu 	预	c=2 d=1 t=25869
yu 	鱼	c=17 d=1 t=28051
yu chan sheng 	与产生	c=1 d=1 t=31323
yu dao 	遇到	c=2 d=1 t=21417
yu ding 	预订	c=4 d=1 t=20758
yu fa 	语法	c=2 d=1.00017 t=5550
yu he 	愈合	c=1 d=1 t=21097
yu ji 	预计	c=31 d=3.63448 t=31361
yu ju 	语句	c=1 d=1 t=5508
yu lan 	预览	c=2 d=0.955997 t=31502
yu lun 	舆论	c=2 d=1.83946 t=24722
yu mao qiu 	羽毛球	c=1 d=1 t=4926
yu ming 	域名	c=12 d=1.97531 t=29752
yu que 	于雀	c=1 d=1 t=26476
yu shi ju jin 	与时俱进	c=1 d=1 t=28612
yu shou 	预收	c=1 d=1 t=26609
yu su 	语速	c=1 d=1 t=30567
yu suan 	预算	c=1 d=1 t=18055
yu tian 	羽田	c=1 d=1 t=3642
yu yan 	语言	c=4 d=1.69879 t=31502
yu yin 	语音	c=5 d=0.946485 t=31502
yu yue 	预约	c=11 d=2.33178 t=20664
yuan 	元	c=1 d=0.451581 t=31502
yuan 	员	c=4 d=1.04427 t=23879
yuan 	圆	c=4 d=1 t=16803
yuan 	愿	c=2 d=1 t=7083
yuan 	远	c=2 d=1.03688 t=24746
yuan ban 	原版	c=1 d=1 t=13726
yuan ben 	原本	c=1 d=1 t=15135
yuan cheng 	远程	c=3 d=1.9802 t=25490
yuan gong 	员工	c=1 d=1 t=6131
yuan jian 	远见	c=1 d=1 t=24810
yuan lai 	原来	c=17 d=1 t=28266
yuan li 	原理	c=6 d=1.09599 t=12952
yuan ma 	源码	c=8 d=1.00055 t=25165
yuan sheng 	原生	c=5 d=1 t=26747
yuan shu 	员熟	c=1 d=1 t=24009
yuan su 	元素	c=6 d=2.85632 t=30569
yuan tou 	源头	c=1 d=1 t=11572
yuan wen jian 	源文件	c=1 d=1 t=14663
yuan xing 	原型	c=15 d=1.70209 t=27398
yuan yi 	愿意	c=1 d=1 t=24749
yuan yin 	原因	c=7 d=1.00002 t=17698
yuan you 	原有	c=4 d=1.00035 t=18398
yuan ze 	原则	c=4 d=0.336216 t=31502
yuan zhang 	院长	c=0 d=0.1 t=24727
yuan zhang zuan 	院长钻	c=1 d=1 t=24728
yue 	月	c=10 d=1 t=24875
yue 	约	c=10 d=0.0278158 t=31502
yue chou 	越丑	c=1 d=1 t=7086
yue chu 	月初	c=1 d=1 t=25633
yue du 	阅读	c=1 d=1 t=12698
yue fen 	月份	c=5 d=1 t=17887
yue ge 	约个	c=1 d=1 t=30067
yue hao 	越好	c=1 d=0.371577 t=31502
yue hui 	月会	c=1 d=1 t=25682
yue hui 	约会	c=1 d=1 t=2492
yue jing 	月经	c=1 d=1 t=9611
yue kan 	越看	c=1 d=1 t=7085
yue lai yue 	越来越	c=1 d=1 t=30770
yue mo 	月末	c=1 d=1 t=25752
yue shao 	越少	c=1 d=0.369723 t=31502
yue su 	约速	c=1 d=1 t=30559
yun 	云	c=8 d=1.00937 t=26415
yun 	晕	c=2 d=1 t=18197
yun da 	韵达	c=1 d=1 t=12696
yun dong 	运动	c=3 d=2.91683 t=19959
yun jin 	云锦	c=2 d=1.57984 t=17950
yun mu 	韵母	c=1 d=1 t=2648
yun suan 	运算	c=5 d=1 t=26085
yun xing 	运行	c=5 d=1.97531 t=16183
yun xing shi 	运行是	c=1 d=1 t=11371
yun xu 	允许	c=1 d=1 t=20
yun yong 	运用	c=2 d=0.00591656 t=31502
za 	咋	c=54 d=1.00154 t=31112
za ban 	咋办	c=1 d=0.0152985 t=31502
za yang 	咋样	c=4 d=1.00041 t=28337
zai 	再	c=97 d=1.00198 t=31502
zai 	在	c=218 d=1.57778 t=31502
zai 	崽	c=2 d=1.22993 t=13666
zai 	载	c=2 d=1.57407 t=12364
zai ci 	再次	c=1 d=1 t=12743
zai er 	再而	c=1 d=1 t=5717
zai kan 	再看	c=1 d=1 t=11178
zai lai 	再来	c=1 d=1 t=14310
zai mang 	再忙	c=1 d=1 t=7114
zai shuo 	再说	c=1 d=1 t=23164
zai wai mian 	在外面	c=1 d=1 t=12037
zai xian 	在线	c=6 d=1.98511 t=27520
zai yi 	在意	c=1 d=1 t=12141
zai yu 	在于	c=2 d=0.0982736 t=31502
zan 	暂	c=11 d=1 t=31474
zan 	赞	c=1 d=1 t=8223
zan cheng 	赞成	c=1 d=1 t=29270
zan qian 	攒钱	c=1 d=1 t=21103
zan shi 	暂时	c=11 d=1 t=31007
zan ting 	暂停	c=1 d=1 t=2295
zan wu 	暂无	c=2 d=1 t=23748
zang 	脏	c=3 d=0.313486 t=31502
zang chen shu 	脏陈述	c=2 d=1 t=4864
zao 	早	c=7 d=0.991366 t=30159
zao 	造	c=2 d=1 t=13691
zao bu ding 	早补丁	c=1 d=1 t=18918
zao cheng 	造成	c=1 d=1 t=6849
zao dian 	早点	c=2 d=1.0226 t=21104
zao qi 	早起	c=1 d=1 t=17531
zao shang 	早上	c=2 d=1 t=8380
zao yin 	噪音	c=2 d=1.95123 t=9271
ze 	则	c=4 d=0.11475 t=31502
ze 	择	c=2 d=1 t=26912
ze 	责	c=1 d=1 t=18794
ze nian 	择年	c=1 d=1 t=5095
ze ren 	责任	c=2 d=1.99005 t=27721
zen 	怎	c=2 d=1 t=28746
zen e 	怎鹅	c=1 d=1 t=11493
zen ji 	怎机	c=1 d=1 t=18139
zen me 	怎么	c=54 d=1.00024 t=30173
zen me dong 	怎么动	c=1 d=1 t=28969
zen me yang 	怎么样	c=6 d=1.00006 t=29158
zen ne 	怎呢	c=1 d=1 t=3513
zeng 	增	c=4 d=0.436049 t=31502
zeng 	曾	c=5 d=0.625002 t=31502
zeng en 	曾嗯	c=1 d=1 t=196
zeng guo fan 	曾国藩	c=1 d=1 t=18911
zeng jia 	增加	c=4 d=0.351692 t=31502
zha 	渣	c=1 d=1 t=24586
zhai 	摘	c=1 d=1 t=17937
zhai wu 	债务	c=2 d=1.92312 t=31214
zhan 	展	c=3 d=1 t=27169
zhan 	战	c=6 d=1 t=27168
zhan 	栈	c=2 d=1.05287 t=6451
zhan 	站	c=4 d=0.0727264 t=31502
zhan dian 	站点	c=1 d=1 t=16882
zhan ding 	绽定	c=1 d=1 t=3343
zhan hui 	站会	c=1 d=1 t=28170
zhan huo 	战火	c=0 d=0.1 t=12573
zhan huo fen fei 	战火纷飞	c=1 d=1 t=12574
zhan qian 	战前	c=1 d=1 t=21102
zhan shi 	展示	c=1 d=1 t=5626
zhan tie 	粘贴	c=2 d=1 t=22501
zhan yong 	占用	c=1 d=1 t=646
zhan zhe 	站着	c=1 d=1 t=27247
zhang 	帐	c=1 d=1 t=23454
zhang 	张	c=9 d=1.00822 t=30319
zhang 	章	c=1 d=1 t=10704
zhang 	胀	c=1 d=1 t=18203
zhang 	长	c=5 d=0.118043 t=19011
zhang de 	长得	c=1 d=1 t=21635
zhang hao 	帐号	c=14 d=1.09255 t=23985
zhang jie 	章节	c=1 d=1 t=9798
zhang jin 	长进	c=1 d=1 t=13355
zhang ju 	长聚	c=1 d=1 t=16635
zhang lang 	蟑螂	c=8 d=3.7082 t=30328
zhao 	找	c=31 d=0.00918669 t=31502
zhao 	招	c=4 d=1.01943 t=6472
zhao 	着	c=1 d=1 t=24540
zhao 	赵	c=1 d=1 t=24539
zhao dao 	找到	c=7 d=1.00332 t=30511
zhao ge 	找个	c=1 d=1 t=20926
zhao gu 	照顾	c=1 d=0.0247235 t=31502
zhao ji 	着急	c=1 d=0.182684 t=31502
zhao le 	找了	c=1 d=1 t=18327
zhao liang 	着凉	c=1 d=1 t=18784
zhao pian 	照片	c=6 d=0.0117371 t=31502
zhao shang 	招商	c=1 d=1 t=6200
zhao xiang 	着想	c=1 d=1 t=20077
zhao yang 	朝阳	c=2 d=1.00456 t=26599
zhao zhao 	找找	c=2 d=1 t=27420
zhe 	着	c=17 d=0.0789921 t=31502
zhe 	者	c=2 d=0.0882305 t=31502
zhe 	这	c=185 d=1.37905 t=31502
zhe ben 	这本	c=1 d=1 t=9181
zhe bian 	这边	c=16 d=1 t=30107
zhe bu fen 	这部分	c=1 d=1 t=18573
zhe ci 	这次	c=1 d=1 t=16665
zhe dian 	这点	c=3 d=2.32965 t=12147
zhe duan 	这段	c=2 d=1 t=27839
zhe er 	这儿	c=1 d=1 t=26876
zhe fen 	这份	c=2 d=0.527292 t=31502
zhe ge 	这个	c=211 d=0.176498 t=31502
zhe ge er 	这个二	c=2 d=1 t=18350
zhe ji ge 	这几个	c=2 d=1 t=21776
zhe ji tian 	这几天	c=1 d=1 t=15456
zhe kuai 	这块	c=9 d=1.48435 t=28614
zhe kuan 	这款	c=1 d=1 t=9302
zhe li 	这里	c=59 d=1.99928 t=31209
zhe me 	这么	c=20 d=1.00185 t=29861
zhe me duo 	这么多	c=2 d=1 t=20318
zhe me m 	这么呒	c=1 d=1 t=261
zhe pian 	这片	c=1 d=1 t=14985
zhe pian 	这篇	c=4 d=0.310227 t=31502
zhe shi 	这是	c=11 d=1 t=30343
zhe tao 	这套	c=1 d=1 t=19832
zhe teng 	折腾	c=2 d=0.843665 t=31502
zhe tiao 	这条	c=2 d=1.98511 t=30656
zhe wei 	这位	c=3 d=0.759404 t=31502
zhe xie 	这些	c=17 d=0.438235 t=31502
zhe xue 	哲学	c=1 d=1 t=23143
zhe xun 	这询	c=1 d=1 t=23142
zhe yang 	这样	c=34 d=0.426838 t=31502
zhe yao 	这要	c=2 d=1.72253 t=15376
zhe yi 	这一	c=0 d=0.1 t=27996
zhe yi ci 	这一次	c=4 d=2.94099 t=19919
zhe yi duan 	这一段	c=1 d=1 t=22544
zhe yi ge 	这一个	c=1 d=1 t=30843
zhe yi ji 	着以及	c=1 d=1 t=13128
zhe yi kan 	这一看	c=1 d=1 t=27997
zhe yi shou 	这一首	c=1 d=0.0214936 t=31502
zhe zen 	这怎	c=1 d=1 t=18062
zhe zhang 	这张	c=1 d=0.472367 t=31502
zhe zhong 	这种	c=12 d=0.0514306 t=31502
zhe zhou 	这周	c=4 d=1 t=31170
zhe zou 	这走	c=1 d=1 t=17220
zhe zuo 	这座	c=1 d=1 t=9350
zhei 	这	c=1 d=1 t=379
zhen 	枕	c=3 d=1.01917 t=21066
zhen 	真	c=24 d=0.195086 t=31502
zhen de 	真的	c=3 d=0.00280028 t=31502
zhen dui 	针对	c=1 d=1 t=29494
zhen ji 	真机	c=6 d=1.00004 t=30338
zhen me 	真么	c=5 d=1 t=30172
zhen shi 	真实	c=1 d=1 t=13237
zhen tan 	侦探	c=0 d=0.00695994 t=31502
zhen tan xiao shuo 	侦探小说	c=1 d=0.0699482 t=31502
zhen tou 	枕头	c=3 d=2.94624 t=18669
zhen ying 	阵营	c=2 d=1.99501 t=22275
zhen zheng 	真正	c=1 d=1 t=18063
zheng 	争	c=1 d=1 t=5806
zheng 	整	c=25 d=1.5886 t=31419
zheng 	正	c=6 d=0.0426384 t=31502
zheng 	睁	c=1 d=1 t=26082
zheng 	证	c=10 d=1.00006 t=25545
zheng 	郑	c=2 d=1.43387 t=6392
zheng ce 	政策	c=2 d=1.00001 t=10849
zheng chang 	正常	c=9 d=1 t=27702
zheng cheng 	征程	c=1 d=1 t=24206
zheng fa 	政法	c=1 d=0.0120946 t=31502
zheng ge 	整个	c=2 d=0.25284 t=31502
zheng he 	整合	c=2 d=1 t=29198
zheng jie 	整洁	c=2 d=1 t=19674
zheng le 	整了	c=1 d=1 t=16819
zheng li 	整理	c=36 d=0.999122 t=31502
zheng lun 	争论	c=1 d=1 t=16670
zheng me 	整么	c=2 d=1.49411 t=23342
zheng qu 	争取	c=2 d=0.00381048 t=31502
zheng que 	正确	c=5 d=1 t=24393
zheng shen 	政审	c=1 d=1 t=30376
zheng shi 	正史	c=2 d=0.105928 t=31502
zheng shi 	正式	c=1 d=1 t=3404
zheng wan 	整晚	c=1 d=1 t=25231
zheng xia 	整下	c=1 d=1 t=12853
zheng xiang 	正向	c=1 d=1 t=9041
zheng zai 	正在	c=8 d=1.00007 t=30810
zheng ze 	正则	c=5 d=3.34884 t=9172
zheng zheng 	整整	c=1 d=1 t=19381
zhi 	之	c=4 d=0.126186 t=31502
zhi 	值	c=23 d=1 t=30618
zhi 	制	c=1 d=1 t=9363
zhi 	只	c=22 d=0.376855 t=31502
zhi 	指	c=3 d=1 t=24113
zhi 	植	c=2 d=1.99005 t=30515
zhi 	直	c=1 d=1 t=18939
zhi 	知	c=1 d=1 t=15257
zhi 	置	c=3 d=1 t=11335
zhi 	至	c=2 d=1.00458 t=4494
zhi bai 	直白	c=1 d=1 t=5037
zhi bo 	直播	c=1 d=1 t=29301
zhi chi 	支持	c=17 d=1.00521 t=29492
zhi chu 	指出	c=5 d=2.36553 t=28264
zhi dao 	知道	c=20 d=1.33767 t=31502
zhi ding 	指定	c=5 d=1.86936 t=30563
zhi du 	只读	c=1 d=1 t=7462
zhi fu 	支付	c=147 d=1.00009 t=31344
zhi fu bao 	支付宝	c=2 d=1 t=27496
zhi fu fa 	支付发	c=2 d=1 t=24235
zhi guan 	直观	c=1 d=1 t=7261
zhi guang 	之光	c=1 d=1 t=27337
zhi hang 	支行	c=3 d=1.9802 t=27314
zhi hou 	之后	c=7 d=0.00149594 t=31502
zhi hu 	直呼	c=1 d=1 t=2071
zhi hu 	知乎	c=12 d=1 t=25672
zhi hui 	只会	c=3 d=1 t=22595
zhi ji 	之际	c=0 d=0.1 t=74
zhi ji en 	之际恩	c=1 d=1 t=75
zhi jia 	之家	c=1 d=1 t=23500
zhi jia 	直加	c=1 d=1 t=23501
zhi jian 	之间	c=2 d=1.7788 t=30756
zhi jie 	直接	c=26 d=0.146659 t=31502
zhi kan 	只看	c=1 d=0.021068 t=31502
zhi lei 	之类	c=3 d=1 t=19552
zhi li 	之力	c=0 d=0.1 t=24720
zhi ling 	指令	c=8 d=1 t=22291
zhi m 	只呒	c=3 d=1 t=27610
zhi nei 	之内	c=1 d=1 t=453
zhi neng 	只能	c=15 d=1.06926 t=30183
zhi neng 	智能	c=1 d=1 t=9851
zhi qian 	之前	c=47 d=1.98492 t=31041
zhi shao 	至少	c=2 d=1.94649 t=24220
zhi shen 	置身	c=1 d=1 t=22525
zhi shi 	只是	c=2 d=1.9802 t=30018
zhi shi 	知识	c=7 d=0.580805 t=31502
zhi shi xing qiu 	知识星球	c=1 d=0.00860854 t=31502
zhi shu 	指数	c=1 d=0.0652193 t=31502
zhi shui 	治水	c=0 d=0.1 t=4858
zhi shui chen shi 	治水陈是	c=1 d=1 t=4859
zhi wu 	植物	c=5 d=0.0378316 t=31502
zhi xiang 	只想	c=1 d=1 t=23854
zhi xie 	只写	c=1 d=1 t=28073
zhi xing 	执行	c=8 d=1 t=30658
zhi xu 	只需	c=2 d=0.0123389 t=31502
zhi you 	只有	c=14 d=0.0477702 t=31502
zhi yuan 	志愿	c=2 d=0.0877905 t=31502
zhi yuan zhe 	志愿者	c=7 d=0.236067 t=31502
zhi zai 	只在	c=1 d=1 t=29716
zhi zhang 	智障	c=1 d=1 t=5493
zhi zhu 	蜘蛛	c=1 d=1 t=10424
zhong 	中	c=48 d=2.19818 t=31502
zhong 	众	c=1 d=1 t=28106
zhong 	忠	c=1 d=0.164474 t=31502
zhong 	种	c=8 d=1.00552 t=29708
zhong 	终	c=1 d=1 t=4867
zhong 	重	c=3 d=0.185138 t=31502
zhong cuo de 	中错的	c=1 d=1 t=22381
zhong dian 	重点	c=1 d=1 t=23711
zhong duan 	中断	c=1 d=0.40657 t=31502
zhong duan 	终端	c=2 d=1.75511 t=31502
zhong fu 	重复	c=1 d=1 t=6650
zhong guo 	中国	c=1 d=1 t=10831
zhong guo ren 	中国人	c=1 d=1 t=27802
zhong jian 	中间	c=3 d=1 t=25701
zhong nan 	中南	c=1 d=1 t=8900
zhong nian ren 	中年人	c=1 d=1 t=29250
zhong pin 	中频	c=1 d=1 t=26836
zhong shen 	终身	c=1 d=1 t=11985
zhong tong 	中通	c=1 d=1 t=27890
zhong wen 	中文	c=4 d=1 t=30674
zhong wu 	中午	c=6 d=2.90894 t=19728
zhong xin 	中信	c=2 d=1.97531 t=27311
zhong xin 	中心	c=1 d=1 t=17338
zhong yao 	重要	c=3 d=1.17552 t=28977
zhong ying wen 	中英文	c=2 d=0.0140518 t=31502
zhong zhi 	中指	c=1 d=1 t=14765
zhong zhi 	种植	c=1 d=1 t=9657
zhong zhong 	种种	c=1 d=1 t=22532
zhong zhuan 	中转	c=2 d=1.98511 t=24964
zhou 	周	c=15 d=0.11562 t=30159
zhou 	轴	c=2 d=2.00438 t=30623
zhou bao 	周报	c=8 d=0.0311282 t=31502
zhou bian 	周边	c=2 d=0.00400585 t=31502
zhou er 	周二	c=1 d=1 t=26729
zhou hui 	周会	c=5 d=1.00002 t=28597
zhou mo 	周末	c=6 d=1.76721 t=27085
zhou qi 	周期	c=2 d=1 t=16147
zhou wu 	周五	c=1 d=0.00790705 t=31502
zhou yi 	周一	c=1 d=1 t=15673
zhou zhe 	皱着	c=1 d=1 t=3104
zhu 	主	c=1 d=1 t=30603
zhu 	住	c=9 d=1 t=30602
zhu 	助	c=3 d=0.995012 t=31502
zhu 	猪	c=1 d=0.00201931 t=31502
zhu 	蛛	c=2 d=1 t=18903
zhu 	驻	c=1 d=1 t=26946
zhu bo 	主播	c=1 d=1 t=15355
zhu ce 	注册	c=7 d=1 t=26944
zhu che 	助车	c=1 d=1 t=26945
zhu chi 	主持	c=1 d=0.00321477 t=31502
zhu dong 	主动	c=1 d=1 t=27023
zhu hai 	珠海	c=4 d=0.467493 t=31502
zhu shi 	注释	c=13 d=0.911728 t=31502
zhu ti 	主题	c=5 d=0.310367 t=31502
zhu xue 	助学	c=1 d=1 t=11931
zhu yao 	主要	c=8 d=1.42549 t=29677
zhu yi 	注意	c=8 d=0.560183 t=31502
zhu yi dian 	注意点	c=1 d=1 t=26682
zhu yuan 	住院	c=1 d=1 t=17459
zhu zhe 	住着	c=1 d=1 t=20446
zhu zhi 	主旨	c=1 d=1 t=11094
zhu zhou 	主轴	c=1 d=1 t=30615
zhu zuo 	著作	c=1 d=0.075774 t=31502
zhua 	抓	c=0 d=0.1 t=30159
zhua zao n zhou xu n mou xiao zhang 	抓早嗯周需嗯某校长	c=1 d=1 t=30160
zhuan 	专	c=1 d=1 t=10471
zhuan 	传	c=1 d=1 t=26529
zhuan 	赚	c=5 d=1 t=30152
zhuan 	转	c=25 d=1.99005 t=30128
zhuan fa 	转发	c=1 d=1 t=11205
zhuan hua 	转化	c=2 d=1.98511 t=2500
zhuan huan 	转换	c=2 d=1.00027 t=10494
zhuan ji 	转机	c=2 d=1 t=22093
zhuan men 	专门	c=1 d=0.0225956 t=31502
zhuan xiang 	专项	c=1 d=1 t=30926
zhuan xie 	撰写	c=1 d=1 t=23551
zhuan ye 	专业	c=2 d=1.97045 t=11926
zhuan zhi 	转制	c=1 d=0.0611149 t=31502
zhuang 	壮	c=1 d=1 t=11675
zhuang 	状	c=1 d=0.0166557 t=31502
zhuang 	装	c=5 d=1 t=27690
zhuang kuang 	状况	c=1 d=1 t=19931
zhuang tai 	状态	c=13 d=1.96561 t=25864
zhuang xiu 	装修	c=3 d=1.07396 t=20666
zhui 	缀	c=1 d=1 t=20705
zhui 	追	c=1 d=1 t=4861
zhui gan 	追赶	c=1 d=1 t=12858
zhun 	准	c=3 d=1.48952 t=24753
zhun bei 	准备	c=14 d=1.00003 t=24306
zhun dian 	准点	c=1 d=1 t=4721
zhun que 	准确	c=2 d=0.00562801 t=31502
zhun shi 	准时	c=1 d=1 t=19251
zhuo 	卓	c=3 d=0.882497 t=31502
zhuo cheng 	卓成	c=1 d=1 t=18199
zhuo jun 	卓君	c=3 d=3.01072 t=11279
zhuo qing 	酌情	c=1 d=1 t=23613
zhuo xiang 	着想	c=1 d=1 t=30586
zhuo zi 	桌子	c=5 d=1 t=27246
zi 	子	c=18 d=4.22804 t=30600
zi 	字	c=4 d=1 t=20693
zi 	自	c=6 d=1 t=21096
zi ben 	资本	c=1 d=1 t=5111
zi ce 	自测	c=24 d=2.38866 t=31368
zi dai 	自带	c=5 d=1.98511 t=23418
zi dian 	字典	c=5 d=1 t=23666
zi ding yi 	自定义	c=10 d=0.967995 t=31502
zi dong 	自动	c=15 d=1.66879 t=31502
zi duan 	字段	c=18 d=1.00048 t=28382
zi fu 	字符	c=6 d=1 t=25816
zi fu chuan 	字符串	c=1 d=1 t=10379
zi gu 	自古	c=1 d=1 t=18384
zi ji 	自己	c=55 d=0.852125 t=31502
zi jia 	自家	c=2 d=1.9802 t=17834
zi kao 	自考	c=16 d=3.7399 t=11963
zi ku 	字库	c=3 d=1.11999 t=31502
zi liao 	资料	c=2 d=0.0724398 t=31502
zi mian 	字面	c=1 d=1.09608 t=18274
zi mian liang 	字面量	c=1 d=1 t=18267
zi ran 	自然	c=1 d=1 t=17519
zi se 	紫色	c=1 d=0.0175097 t=31502
zi sha 	自杀	c=1 d=1 t=16630
zi shi ying 	自适应	c=1 d=1 t=26936
zi wo 	自我	c=2 d=1 t=24376
zi xi 	仔细	c=2 d=1 t=13667
zi xun 	咨询	c=3 d=1 t=8907
zi you 	自由	c=1 d=1 t=8117
zi yuan 	资源	c=2 d=0.677057 t=31502
zi ze 	自责	c=3 d=1 t=26081
zong 	宗	c=1 d=0.144424 t=31502
zong 	总	c=7 d=1 t=31224
zong 	纵	c=1 d=0.141564 t=31502
zong bu 	总部	c=1 d=1 t=26056
zong dei 	总得	c=1 d=1 t=15064
zong guan 	纵观	c=1 d=0.111359 t=31502
zong he 	综合	c=3 d=2.11981 t=7685
zong jiao 	宗教	c=1 d=1 t=14531
zong jie 	总结	c=22 d=2.31427 t=28030
zong suan 	总算	c=2 d=1 t=24959
zong xiang 	纵向	c=1 d=1 t=30610
zou 	走	c=7 d=1 t=27140
zu 	租	c=4 d=1 t=30409
zu 	组	c=1 d=1 t=8220
zu gou 	足够	c=2 d=0.290413 t=31502
zu he 	组合	c=5 d=1.46301 t=15615
zu jian 	组件	c=30 d=2.01099 t=31383
zu zhi 	组织	c=2 d=0.037068 t=31502
zu zhu 	租住	c=1 d=1 t=21223
zuan 	钻	c=1 d=0.1 t=24727
zuan o 	钻哦	c=1 d=1 t=16568
zui 	最	c=14 d=0.951229 t=31502
zui 	醉	c=1 d=1 t=5559
zui chu 	最初	c=0 d=0.1 t=12267
zui da 	最大	c=1 d=1 t=16474
zui hao 	最好	c=6 d=0.00198925 t=31502
zui hou 	最后	c=1 d=1 t=25738
zui jia 	最佳	c=2 d=1.83946 t=5349
zui jin 	最近	c=13 d=1.49907 t=28393
zui kui huo shou 	罪魁祸首	c=1 d=1 t=25204
zui mei 	最美	c=2 d=0.263707 t=31502
zui wei 	最为	c=1 d=0.00402593 t=31502
zui xin 	最新	c=3 d=1.00003 t=16694
zui zao 	最早	c=1 d=0.0275983 t=31502
zui zhong 	最终	c=1 d=1 t=7935
zuo 	作	c=2 d=1.97045 t=11788
zuo 	做	c=72 d=0.0927638 t=31502
zuo 	左	c=3 d=1.0157 t=19469
zuo bi 	作弊	c=2 d=1.98511 t=16617
zuo bian 	左边	c=2 d=1.77492 t=18526
zuo bu 	做不	c=1 d=1 t=25664
zuo deng 	坐等	c=2 d=1.00298 t=23880
zuo fa 	做法	c=1 d=0.00640933 t=31502
zuo jiu 	坐久	c=2 d=1 t=18485
zuo le 	作了	c=2 d=1 t=25646
zuo le 	做了	c=2 d=1 t=25649
zuo qi 	做起	c=1 d=1 t=23612
zuo sha 	做啥	c=1 d=1 t=18726
zuo shi 	做事	c=3 d=1 t=21788
zuo tian 	昨天	c=45 d=0.00909528 t=31502
zuo wan 	做完	c=1 d=1 t=22955
zuo wan 	昨晚	c=1 d=1 t=22954
zuo wei 	作为	c=6 d=0.010983 t=31502
zuo ye 	作业	c=1 d=1 t=5679
zuo yi xie 	做一些	c=1 d=1 t=12461
zuo yong 	作用	c=3 d=1 t=29745
zuo you 	左右	c=1 d=0.0102549 t=31502
zuo zhe 	作者	c=1 d=0.00625109 t=31502
zuo zi 	坐姿	c=1 d=1 t=27245
